CustomerCode,CustomerName,MarketCode,Address,Email,ParentCustomerCode,CustomerStatus,CustomerAdditionalDetails,BatchRefreshDate,BatchID,FileDate,IsActive
0010000546,CustomerName0010000546,BNA,CustomerName0010000546,CustomerName0010000546,0083654,,,2020-03-07T03:33:32.432Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010000708,CustomerName0010000708,BNA,CustomerName0010000708,CustomerName0010000708,0141620,,,2020-03-07T03:33:32.444Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010002823,CustomerName0010002823,BNA,CustomerName0010002823,CustomerName0010002823,0048204,,,2020-03-07T03:33:32.547Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010003057,CustomerName0010003057,BNA,CustomerName0010003057,CustomerName0010003057,0023698,,,2020-03-07T03:33:32.556Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010003101,CustomerName0010003101,BNA,CustomerName0010003101,CustomerName0010003101,0093904,,,2020-03-07T03:33:32.558Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010003390,CustomerName0010003390,BNA,CustomerName0010003390,CustomerName0010003390,0122391,,,2020-03-07T03:33:32.577Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010003552,CustomerName0010003552,BNA,CustomerName0010003552,CustomerName0010003552,0146542,,,2020-03-07T03:33:32.593Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010004281,CustomerName0010004281,BNA,CustomerName0010004281,CustomerName0010004281,0142101,,,2020-03-07T03:33:32.648Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010004443,CustomerName0010004443,BNA,CustomerName0010004443,CustomerName0010004443,0147066,,,2020-03-07T03:33:32.659Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010004605,CustomerName0010004605,BNA,CustomerName0010004605,CustomerName0010004605,0175717,,,2020-03-07T03:33:32.671Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010004894,CustomerName0010004894,BNA,CustomerName0010004894,CustomerName0010004894,0178234,,,2019-11-29T12:03:47.246Z,20191029061003.IF003.CUST01D.dat,20191029061003,Y
0010005785,CustomerName0010005785,BNA,CustomerName0010005785,CustomerName0010005785,0181114,,,2020-03-07T03:33:32.715Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0010013966,CustomerName0010013966,BNA,CustomerName0010013966,CustomerName0010013966,0191106,,,2020-03-07T03:33:32.745Z,20200219060204.IF003.CUST01D.dat,20200219060204,Y
0085580,CustomerName0085580,BNA,CustomerName0085580,CustomerName0085580,0085580,,,2020-03-07T03:33:32.527Z,20200219060204.IF001.CUST01D.dat,20200219060204,Y
